,classifiers,brfc40,brfc40,brfc40,brfc40,brfc40,dtc,dtc,dtc,dtc,dtc,ertc40,ertc40,ertc40,ertc40,ertc40,gaus,gaus,gaus,gaus,gaus,knn,knn,knn,knn,knn,logreg,logreg,logreg,logreg,logreg,lsvm,lsvm,lsvm,lsvm,lsvm,mlpc,mlpc,mlpc,mlpc,mlpc,rfc40,rfc40,rfc40,rfc40,rfc40,svm,svm,svm,svm,svm,xgb,xgb,xgb,xgb,xgb
datasets,tests\anomalies,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields
abalone,baseline,0.2572,0.2572,0.2572,0.2572,0.2572,0.2045,0.2045,0.2045,0.2045,0.2045,0.2117,0.2117,0.2117,0.2117,0.2117,0.1184,0.1184,0.1184,0.1184,0.1184,0.2165,0.2165,0.2165,0.2165,0.2165,0.2775,0.2775,0.2775,0.2775,0.2775,0.2512,0.2512,0.2512,0.2512,0.2512,0.2787,0.2787,0.2787,0.2787,0.2787,0.2464,0.2464,0.2464,0.2464,0.2464,0.2727,0.2727,0.2727,0.2727,0.2727,0.2620,0.2620,0.2620,0.2620,0.2620
,num disc,(49/49) 0.2552 +- 0.0066,---,(7) FAIL,(7) FAIL,(147/147) 0.2522 +- 0.0085,(49/49) 0.1943 +- 0.0222,---,(7) FAIL,(7) FAIL,(147/147) 0.1868 +- 0.0252,(49/49) 0.2129 +- 0.0105,---,(7) FAIL,(7) FAIL,(147/147) 0.2062 +- 0.0163,(49/49) 0.1070 +- 0.0191,---,(7) FAIL,(7) FAIL,(147/147) 0.1205 +- 0.0098,(49/49) 0.2010 +- 0.0229,---,(7) FAIL,(7) FAIL,(147/147) 0.2054 +- 0.0202,(49/49) 0.2464 +- 0.0394,---,(7) FAIL,(7) FAIL,(147/147) 0.2462 +- 0.0414,(49/49) 0.2247 +- 0.0352,---,(7) FAIL,(7) FAIL,(147/147) 0.2283 +- 0.0320,(49/49) 0.2503 +- 0.0278,---,(7) FAIL,(7) FAIL,(147/147) 0.2626 +- 0.0207,(49/49) 0.2442 +- 0.0099,---,(7) FAIL,(7) FAIL,(147/147) 0.2364 +- 0.0168,(49/49) 0.2560 +- 0.0229,---,(7) FAIL,(7) FAIL,(147/147) 0.2522 +- 0.0268,(49/49) 0.2463 +- 0.0256,---,(49/49) 0.2453 +- 0.0283,(7) FAIL,(147/147) 0.2416 +- 0.0323
,num cont,(49/49) 0.2542 +- 0.0060,---,(7) FAIL,(7) FAIL,(147/147) 0.2521 +- 0.0090,(49/49) 0.1918 +- 0.0286,---,(7) FAIL,(7) FAIL,(147/147) 0.1879 +- 0.0245,(49/49) 0.2129 +- 0.0112,---,(7) FAIL,(7) FAIL,(147/147) 0.2066 +- 0.0156,(49/49) 0.1054 +- 0.0201,---,(7) FAIL,(7) FAIL,(147/147) 0.1195 +- 0.0102,(49/49) 0.2052 +- 0.0194,---,(7) FAIL,(7) FAIL,(147/147) 0.2062 +- 0.0194,(49/49) 0.2420 +- 0.0490,---,(7) FAIL,(7) FAIL,(147/147) 0.2477 +- 0.0400,(49/49) 0.2264 +- 0.0327,---,(7) FAIL,(7) FAIL,(147/147) 0.2277 +- 0.0326,(49/49) 0.2552 +- 0.0277,---,(7) FAIL,(7) FAIL,(147/147) 0.2633 +- 0.0204,(49/49) 0.2401 +- 0.0121,---,(7) FAIL,(7) FAIL,(147/147) 0.2364 +- 0.0156,(49/49) 0.2525 +- 0.0243,---,(7) FAIL,(7) FAIL,(147/147) 0.2530 +- 0.0248,(49/49) 0.2461 +- 0.0302,---,(49/49) 0.2459 +- 0.0262,(7) FAIL,(147/147) 0.2407 +- 0.0317
,string,---,(1/7) 0.2572 +- 0.0000,(1) FAIL,(1) FAIL,(1) FAIL,---,(1/7) 0.2045 +- 0.0000,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,(1) FAIL,---,(2/7) 0.1184 +- 0.0000,(1) FAIL,(1) FAIL,(1) FAIL,---,(2/7) 0.2165 +- 0.0000,(1) FAIL,(1) FAIL,(1) FAIL,---,(1/7) 0.2775 +- 0.0000,(1) FAIL,(1) FAIL,(1) FAIL,---,(1/7) 0.2512 +- 0.0000,(1) FAIL,(1) FAIL,(1) FAIL,---,(1/7) 0.2787 +- 0.0000,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,(1) FAIL
adult,baseline,0.8306,0.8306,0.8306,0.8306,0.8306,0.8156,0.8156,0.8156,0.8156,0.8156,0.8208,0.8208,0.8208,0.8208,0.8208,0.4595,0.4595,0.4595,0.4595,0.4595,0.8136,0.8136,0.8136,0.8136,0.8136,0.8405,0.8405,0.8405,0.8405,0.8405,0.8403,0.8403,0.8403,0.8403,0.8403,0.8371,0.8371,0.8371,0.8371,0.8371,0.8242,0.8242,0.8242,0.8242,0.8242,0.2549,0.2549,0.2549,0.2549,0.2549,0.8396,0.8396,0.8396,0.8396,0.8396
,num disc,(42/42) 0.8297 +- 0.0021,---,(42/42) 0.8299 +- 0.0018,(6) FAIL,(105/105) 0.8264 +- 0.0083,(42/42) 0.8099 +- 0.0143,---,(42/42) 0.8150 +- 0.0015,(6) FAIL,(105/105) 0.8010 +- 0.0249,(42/42) 0.8172 +- 0.0125,---,(42/42) 0.8204 +- 0.0011,(6) FAIL,(105/105) 0.8116 +- 0.0164,(42/42) 0.4575 +- 0.0048,---,(42/42) 0.4596 +- 0.0001,(6) FAIL,(105/105) 0.4548 +- 0.0076,(42/42) 0.8114 +- 0.0076,---,(42/42) 0.8132 +- 0.0009,(6) FAIL,(105/105) 0.8068 +- 0.0118,(42/42) 0.8363 +- 0.0137,---,(42/42) 0.8398 +- 0.0016,(6) FAIL,(105/105) 0.8295 +- 0.0180,(42/42) 0.8380 +- 0.0064,---,(42/42) 0.8397 +- 0.0015,(6) FAIL,(105/105) 0.8306 +- 0.0174,(42/42) 0.8317 +- 0.0170,---,(42/42) 0.8365 +- 0.0015,(6) FAIL,(105/105) 0.8245 +- 0.0220,(42/42) 0.8206 +- 0.0121,---,(42/42) 0.8238 +- 0.0011,(6) FAIL,(105/105) 0.8153 +- 0.0167,(42/42) 0.2549 +- 0.0001,---,(42/42) 0.2549 +- 0.0000,(6) FAIL,(105/105) 0.2549 +- 0.0002,(42/42) 0.8374 +- 0.0060,---,(42/42) 0.8387 +- 0.0019,(6) FAIL,(105/105) 0.8304 +- 0.0168
,num cont,(42/42) 0.8291 +- 0.0055,---,(42/42) 0.8298 +- 0.0018,(6) FAIL,(105/105) 0.8263 +- 0.0086,(42/42) 0.8118 +- 0.0159,---,(42/42) 0.8152 +- 0.0012,(6) FAIL,(105/105) 0.8013 +- 0.0243,(42/42) 0.8180 +- 0.0071,---,(42/42) 0.8204 +- 0.0012,(6) FAIL,(105/105) 0.8114 +- 0.0167,(42/42) 0.4585 +- 0.0043,---,(42/42) 0.4596 +- 0.0001,(6) FAIL,(105/105) 0.4549 +- 0.0076,(42/42) 0.8114 +- 0.0057,---,(42/42) 0.8132 +- 0.0010,(6) FAIL,(105/105) 0.8067 +- 0.0116,(42/42) 0.8367 +- 0.0105,---,(42/42) 0.8400 +- 0.0013,(6) FAIL,(105/105) 0.8296 +- 0.0179,(42/42) 0.8383 +- 0.0058,---,(42/42) 0.8396 +- 0.0017,(6) FAIL,(105/105) 0.8303 +- 0.0174,(42/42) 0.8318 +- 0.0176,---,(42/42) 0.8366 +- 0.0014,(6) FAIL,(105/105) 0.8241 +- 0.0224,(42/42) 0.8211 +- 0.0116,---,(42/42) 0.8238 +- 0.0009,(6) FAIL,(105/105) 0.8153 +- 0.0167,(42/42) 0.2549 +- 0.0001,---,(42/42) 0.2549 +- 0.0001,(6) FAIL,(105/105) 0.2549 +- 0.0002,(42/42) 0.8364 +- 0.0087,---,(42/42) 0.8389 +- 0.0016,(6) FAIL,(105/105) 0.8305 +- 0.0167
,string,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL
adult-missing,baseline,0.8509,0.8509,0.8509,0.8509,0.8509,0.8101,0.8101,0.8101,0.8101,0.8101,0.8346,0.8346,0.8346,0.8346,0.8346,0.4850,0.4850,0.4850,0.4850,0.4850,0.8213,0.8213,0.8213,0.8213,0.8213,0.8494,0.8494,0.8494,0.8494,0.8494,0.8488,0.8488,0.8488,0.8488,0.8488,0.8374,0.8374,0.8374,0.8374,0.8374,0.8512,0.8512,0.8512,0.8512,0.8512,0.2507,0.2507,0.2507,0.2507,0.2507,0.8607,0.8607,0.8607,0.8607,0.8607
,num disc,(42/42) 0.8429 +- 0.0233,---,(42/42) 0.8490 +- 0.0034,(6) FAIL,(105/105) 0.8445 +- 0.0164,(42/42) 0.7855 +- 0.0423,---,(42/42) 0.8068 +- 0.0044,(6) FAIL,(105/105) 0.7876 +- 0.0374,(42/42) 0.8231 +- 0.0368,---,(42/42) 0.8331 +- 0.0025,(6) FAIL,(105/105) 0.8234 +- 0.0383,(42/42) 0.4737 +- 0.0324,---,(42/42) 0.4845 +- 0.0013,(6) FAIL,(105/105) 0.4846 +- 0.0590,(42/42) 0.8160 +- 0.0190,---,(42/42) 0.8207 +- 0.0021,(6) FAIL,(105/105) 0.7998 +- 0.0570,(42/42) 0.8184 +- 0.0879,---,(42/42) 0.8483 +- 0.0037,(6) FAIL,(105/105) 0.7762 +- 0.1181,(42/42) 0.8331 +- 0.0463,---,(42/42) 0.8475 +- 0.0035,(6) FAIL,(105/105) 0.7929 +- 0.1071,(42/42) 0.8298 +- 0.0237,---,(42/42) 0.8368 +- 0.0017,(6) FAIL,(105/105) 0.7867 +- 0.1065,(42/42) 0.8392 +- 0.0264,---,(42/42) 0.8493 +- 0.0033,(6) FAIL,(105/105) 0.8331 +- 0.0473,(42/42) 0.2513 +- 0.0021,---,(42/42) 0.2507 +- 0.0002,(6) FAIL,(105/105) 0.2889 +- 0.0926,(42/42) 0.8425 +- 0.0475,---,(42/42) 0.8583 +- 0.0039,(6) FAIL,(105/105) 0.8412 +- 0.0491
,num cont,(42/42) 0.8448 +- 0.0154,---,(42/42) 0.8488 +- 0.0036,(6) FAIL,(105/105) 0.8443 +- 0.0161,(42/42) 0.7912 +- 0.0555,---,(42/42) 0.8072 +- 0.0040,(6) FAIL,(105/105) 0.7873 +- 0.0379,(42/42) 0.8281 +- 0.0133,---,(42/42) 0.8329 +- 0.0027,(6) FAIL,(105/105) 0.8235 +- 0.0386,(42/42) 0.4753 +- 0.0290,---,(42/42) 0.4845 +- 0.0011,(6) FAIL,(105/105) 0.4846 +- 0.0582,(42/42) 0.8187 +- 0.0080,---,(42/42) 0.8207 +- 0.0017,(6) FAIL,(105/105) 0.7997 +- 0.0575,(42/42) 0.8189 +- 0.0877,---,(42/42) 0.8478 +- 0.0043,(6) FAIL,(105/105) 0.7765 +- 0.1180,(42/42) 0.8330 +- 0.0468,---,(42/42) 0.8476 +- 0.0031,(6) FAIL,(105/105) 0.7930 +- 0.1076,(42/42) 0.8248 +- 0.0443,---,(42/42) 0.8369 +- 0.0017,(6) FAIL,(105/105) 0.7867 +- 0.1059,(42/42) 0.8317 +- 0.0616,---,(42/42) 0.8493 +- 0.0033,(6) FAIL,(105/105) 0.8330 +- 0.0473,(42/42) 0.2512 +- 0.0012,---,(42/42) 0.2507 +- 0.0002,(6) FAIL,(105/105) 0.2888 +- 0.0927,(42/42) 0.8441 +- 0.0465,---,(42/42) 0.8583 +- 0.0042,(6) FAIL,(105/105) 0.8413 +- 0.0492
,string,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL
